,Unnamed: 0,name,url,picks,profit,yield
0,0,dedi22,https://dedi22.blogabet.com,2015,4001,36
1,0,Aussie1126,https://aussie1126.blogabet.com,2014,999,21
2,0,Jimin Jibao,https://jj1ba0.blogabet.com,2017,11986,53
3,0,cheser,https://cheser.blogabet.com,2014,1247,14
4,0,Safin,https://safin1.blogabet.com,2007,806,13
5,0,Iranian Sports,https://iraniansport.blogabet.com,2018,218,48
6,0,Semas_Biggest_Fan,https://punisher1.blogabet.com,2015,1284,45

8,0,NINIBET,https://ninibet.blogabet.com,2015,568,36

10,0,doko,https://doko.blogabet.com,2008,1572,7
11,0,BabyJumpHook,https://babyjumphook.blogabet.com,2016,1311,21
12,0,Jimbeam,https://annobonno1.blogabet.com,2015,670,19
13,0,KingGol,https://kinggol.blogabet.com,2017,147,30
14,0,GeniusTips,https://thegeniustips.blogabet.com,2014,1566,13
15,0,4eventeVB365,https://eventevb.blogabet.com,2015,691,17
16,0,Rado,https://radobet.blogabet.com,2012,2155,7
17,0,ProTip!,https://timebombtips.blogabet.com,2016,384,24
18,0,betonlybet,https://betonlybet.blogabet.com,2013,1137,0

20,0,SlavaG,https://poloss.blogabet.com,2018,252,30
21,0,Sergio Freitas,https://sergiofreitas.blogabet.com,2017,53,2

23,0,Mrbetting (only South America),https://misterbetting.blogabet.com,2013,655,6

25,0,zuto123,https://zuto123.blogabet.com,2016,1284,10

27,0,YugoValue,https://yugovalue.blogabet.com,2017,452,30
28,0,Ignazio,https://ignazio.blogabet.com,2015,442,13
29,0,InsideSport,https://insidesport.blogabet.com,2016,602,4
30,0,bacilla,https://bacilla.blogabet.com,2013,1388,12
31,0,Geh,https://smarius1978.blogabet.com,2016,1590,9
32,0,SEASON BREAK,https://Haloo,0,3319,2777
33,0,GermanRegio,https://softik.blogabet.com,2015,554,5
34,0,ehrenmann,https://ehrenmann.blogabet.com,2015,425,19
35,0,highfiability,https://highfiabilitytennis.blogabet.com,2015,326,37
36,0,SEASON BREAK,https://zizou100,0,1058,390
37,0,Albanian Sports,https://noluckpicks.blogabet.com,2018,392,18
38,0,FrancisBegbie,https://nightshift.blogabet.com,2015,1493,35
39,0,Fuleco Sports,https://fuleco.blogabet.com,2019,1197,14
40,0,SEASON BREAK,https://L,0,458,291
41,0,realmaster,https://realmaster.blogabet.com,2015,4333,3
42,0,ATAT,https://lindap.blogabet.com,2016,1840,17
43,0,Billy Walters,https://strauts.blogabet.com,2017,1990,16
44,0,SEASON BREAK,https://sirkaxtos!!,0,1071,420

46,0,◢ℋandiℳajstℯ®◣™ ️⚽️️⚽️️⚽️,https://handimajster.blogabet.com,2016,317,32
47,0,Begemot,https://begemot.blogabet.com,2015,229,28
48,0,croton,https://croton.blogabet.com,2012,417,20
49,0,Maluodds,https://maluodds.blogabet.com,2017,1237,18
50,0,awer,https://awer.blogabet.com,2012,1210,14
51,0,SERVICE FULL,https://JCFC86,86,1180,503
52,0,PdP Master,https://pdpmaster.blogabet.com,2017,643,16
53,0,Hungarian football tips,https://sfetips.blogabet.com,2015,169,13
54,0,Le Girondin,https://legirondin.blogabet.com,2017,63,8
55,0,Owenj11,https://owenj11.blogabet.com,2009,2399,6
56,0,Mysiak,https://mysiak.blogabet.com,2015,211,15
57,0,gusar5,https://gusar5.blogabet.com,2016,285,10
58,0,manos,https://manxif2.blogabet.com,2011,775,3
59,0,Styffz Tipping,https://styffz.blogabet.com,2017,92,37
60,0,cqc2003N,https://ngl2003.blogabet.com,2016,475,5
61,0,Basketball vision,https://nbaprematchbetsonly.blogabet.com,2019,210,14
